P5cr	FBtr0083713
Prp18	FBtr0083717
CG6013	FBtr0083714
cdi	FBtr0083716
mRpL55	FBtr0083754
ATPsyn-d	FBtr0083727
Ppcs	FBtr0083752
Ppcs	FBtr0330044
Ppcs	FBtr0347007
CG11779	FBtr0335020
CG11779	FBtr0083750
nos	FBtr0083732
nos	FBtr0335019
CG5555	FBtr0083746
CG11703	FBtr0083744
CG31244	FBtr0083772
CG5316	FBtr0083760
Vha13	FBtr0346100
Vha13	FBtr0083804
Nup58	FBtr0083781
Ire1	FBtr0113248
CG11447	FBtr0083815
CG4572	FBtr0083861
CG4686	FBtr0083816
CG4686	FBtr0334307
CG17186	FBtr0083858
Arc42	FBtr0083817
CG4538	FBtr0344262
CG4538	FBtr0083855
mira	FBtr0083848
mira	FBtr0083847
CG4433	FBtr0344139
CG4433	FBtr0083843
CG4424	FBtr0083841
CG4854	FBtr0083830
trem	FBtr0083840
CG4936	FBtr0083831
CG10889	FBtr0083839
CG4390	FBtr0083837
mdlc	FBtr0083835
CG4360	FBtr0083899
Stat92E	FBtr0089486
Stat92E	FBtr0089487
CG5180	FBtr0273268
CG5191	FBtr0083904
CG5191	FBtr0083905
CG10877	FBtr0083950
CG5191	FBtr0083908
TFAM	FBtr0083949
CG5412	FBtr0083909
EloB	FBtr0083947
Srp14	FBtr0273271
CG16953	FBtr0300803
Sep2	FBtr0083945
bon	FBtr0300617
bon	FBtr0083912
bon	FBtr0330043
bon	FBtr0334637
bon	FBtr0334638
CG5466	FBtr0083913
H	FBtr0083915
H	FBtr0083916
H	FBtr0083914
H	FBtr0083917
Pi3K92E	FBtr0083940
Cdk2	FBtr0083921
Cdk2	FBtr0083922
Cdk2	FBtr0300447
CG31195	FBtr0302188
CG17270	FBtr0334723
CG17271	FBtr0083993
RpS20	FBtr0083964
AdSS	FBtr0083991
Synd	FBtr0083966
Synd	FBtr0334725
CG15696	FBtr0083968
RpS30	FBtr0346148
RpS30	FBtr0083969
Rlip	FBtr0084002
Mvl	FBtr0301477
Mvl	FBtr0301478
Cortactin	FBtr0084039
AnxB9	FBtr0089519
r-l	FBtr0084038
CG5745	FBtr0084008
Sec15	FBtr0084034
rtet	FBtr0084009
Rab11	FBtr0084010
Rab11	FBtr0084011
ppan	FBtr0084012
Bdbt	FBtr0084033
slmb	FBtr0084032
slmb	FBtr0330049
slmb	FBtr0333931
Ice2	FBtr0084015
CG7009	FBtr0084029
Ubpy	FBtr0084016
meigo	FBtr0084017
CG5862	FBtr0084049
CG3337	FBtr0347217
CG3337	FBtr0084107
Nelf-A	FBtr0330376
Rab1	FBtr0084104
AP-2sigma	FBtr0084103
CG3308	FBtr0084102
Hsromega	FBtr0084059
Hsromega	FBtr0346801
Hsromega	FBtr0084058
Hsromega	FBtr0332373
pre-mod(mdg4)-Y	FBtr0303405
E2f1	FBtr0084119
DNApol-alpha180	FBtr0084115
glec	FBtr0084157
CG6439	FBtr0084190
CG6439	FBtr0300788
CG6455	FBtr0335199
CG6455	FBtr0290271
mRpL35	FBtr0084171
CG6028	FBtr0084186
Cchl	FBtr0335198
Cchl	FBtr0084185
ND42	FBtr0084172
CG6015	FBtr0084183
CG45099	FBtr0344632
Fadd	FBtr0084176
how	FBtr0084178
SKIP	FBtr0305036
SKIP	FBtr0310203
Sar1	FBtr0084206
PSR	FBtr0084239
PSR	FBtr0330378
CG7071	FBtr0084212
PyK	FBtr0084213
Nop56	FBtr0084230
mats	FBtr0084229
mats	FBtr0337044
mats	FBtr0345205
CG12499	FBtr0084295
Rpn7	FBtr0084294
AP-2mu	FBtr0084253
CG7054	FBtr0084254
CG5377	FBtr0084293
CG7048	FBtr0301486
CG7048	FBtr0084257
T-cp1	FBtr0084291
AdipoR	FBtr0084282
AdipoR	FBtr0308848
CSN6	FBtr0084265
Dph5	FBtr0084280
CG6937	FBtr0084266
btn	FBtr0084278
mRpL45	FBtr0084272
loco	FBtr0084273
CR43474	FBtr0309306
Gclm	FBtr0334605
Gclm	FBtr0084336
Nup133	FBtr0084302
wge	FBtr0110835
Dcr-1	FBtr0084324
vret	FBtr0084323
HP1c	FBtr0084309
rumi	FBtr0084320
CG7029	FBtr0113270
CG7029	FBtr0344297
p53	FBtr0084359
sav	FBtr0084356
Ublcp1	FBtr0084347
CenB1A	FBtr0084368
CG31365	FBtr0084406
CG31457	FBtr0084405
cnc	FBtr0306750
EloA	FBtr0084374
wda	FBtr0084387
Cdc16	FBtr0084377
ATPsyn-Cf6	FBtr0333777
ATPsyn-Cf6	FBtr0084432
Sec13	FBtr0346160
Sec13	FBtr0084409
RpS3	FBtr0084410
RpS3	FBtr0346349
CG4408	FBtr0339619
GILT2	FBtr0084435
eIF-3p66	FBtr0089622
CG10365	FBtr0084449
Rpn9	FBtr0084470
RanBP3	FBtr0084468
Rpt5	FBtr0084452
Hrd3	FBtr0084467
CG10219	FBtr0084466
CG10217	FBtr0084465
CG10214	FBtr0084463
CG10375	FBtr0300681
tst	FBtr0084462
tst	FBtr0334895
Nup98-96	FBtr0334894
Nup98-96	FBtr0084460
Nup98-96	FBtr0304567
CG33111	FBtr0084529
CG33111	FBtr0334892
eIF4G2	FBtr0344335
eIF4G2	FBtr0089623
Pli	FBtr0084527
TfIIA-S	FBtr0084526
Ndc1	FBtr0084491
CG13601	FBtr0084522
CG13601	FBtr0330369
Rpt2	FBtr0084520
Rpt2	FBtr0346154
CG5854	FBtr0084494
CG13603	FBtr0084510
CG13604	FBtr0113275
CG33108	FBtr0300647
LSm3	FBtr0084505
LSm3	FBtr0300648
KrT95D	FBtr0084507
Miro	FBtr0084595
Miro	FBtr0084596
spas	FBtr0084534
spas	FBtr0084533
Rox8	FBtr0084592
Rox8	FBtr0084591
CG5986	FBtr0321261
CG6000	FBtr0334920
CG6000	FBtr0343101
Syx1A	FBtr0084588
CG18428	FBtr0084543
CG13605	FBtr0300705
Tsc1	FBtr0084546
p38c	FBtr0084582
CG6178	FBtr0084550
mRpS24	FBtr0084577
Apc2	FBtr0084552
CG5510	FBtr0084576
CHORD	FBtr0084554
CG5515	FBtr0345215
CG5515	FBtr0084574
CG5515	FBtr0335413
twin	FBtr0084568
twin	FBtr0084566
CG17786	FBtr0084572
cav	FBtr0084557
cav	FBtr0084559
Spps	FBtr0084565
Spps	FBtr0330382
CG13609	FBtr0084560
Spase22-23	FBtr0305044
Spase22-23	FBtr0084564
Orct2	FBtr0084598
Orct2	FBtr0334869
CG6364	FBtr0084602
CG6364	FBtr0309095
Nab2	FBtr0084633
BRWD3	FBtr0084604
CG5728	FBtr0084632
Dis3	FBtr0334599
CG5746	FBtr0084630
CG5746	FBtr0084631
CG5746	FBtr0273282
CG5746	FBtr0273283
Golgin84	FBtr0084629
Pp1alpha-96A	FBtr0084642
Pp1alpha-96A	FBtr0334334
ana1	FBtr0334335
ana1	FBtr0084645
CG13625	FBtr0084671
Syx18	FBtr0084670
Wsck	FBtr0084669
CG31125	FBtr0084665
CG31126	FBtr0084663
Ppox	FBtr0084664
CG13630	FBtr0084745
asp	FBtr0084692
CG13631	FBtr0084693
CG13631	FBtr0339253
CG5807	FBtr0084739
CG5808	FBtr0084738
Saf-B	FBtr0084700
CG7006	FBtr0084704
nct	FBtr0084705
nct	FBtr0306087
CycB3	FBtr0084728
CG3744	FBtr0334574
CG3744	FBtr0334577
CG11089	FBtr0084710
PIG-S	FBtr0339112
CG44254	FBtr0339113
CG11771	FBtr0084748
Osbp	FBtr0084801
ssh	FBtr0084799
Smg6	FBtr0084796
bai	FBtr0084758
CG11790	FBtr0084760
CG31109	FBtr0334506
CG31109	FBtr0084791
veli	FBtr0084787
OstStt3	FBtr0084786
CG33096	FBtr0114464
CG33096	FBtr0301976
CG33096	FBtr0344622
vig2	FBtr0084776
Clbn	FBtr0301277
danr	FBtr0084780
CG13653	FBtr0084804
CG13663	FBtr0084873
CG10420	FBtr0084870
bam	FBtr0084869
RpS27	FBtr0304693
Nup37	FBtr0084812
Nup358	FBtr0304692
CG11857	FBtr0084814
CG10425	FBtr0084867
CG11858	FBtr0084815
Aats-gln	FBtr0084866
CG4553	FBtr0084839
MED28	FBtr0084836
XNP	FBtr0084837
XNP	FBtr0344718
CR44179	FBtr0336803
msi	FBtr0084882
Npl4	FBtr0084892
Npl4	FBtr0300730
jigr1	FBtr0084886
RASSF8	FBtr0084898
CG5028	FBtr0113291
CLS	FBtr0084930
LpR2	FBtr0113386
CG5886	FBtr0084907
Tsp96F	FBtr0330164
Tsp96F	FBtr0084912
